Player,standard | Nation,standard | Pos,standard | Squad,standard | Age,standard | Born,standard_Playing Time | MP,standard_Playing Time | Starts,standard_Playing Time | Min,standard_Performance | Gls,standard_Performance | Ast,standard_Performance | CrdY,standard_Performance | CrdR,standard_Expected | xG,standard_Expected | xAG,standard_Progression | PrgC,standard_Progression | PrgP,standard_Progression | PrgR,standard_Per 90 Minutes | Gls,standard_Per 90 Minutes | Ast,standard_Per 90 Minutes | xG,standard_Per 90 Minutes | xAG,keepers_Performance | GA90,keepers_Performance | Save%,keepers_Performance | CS%,keepers_Penalty Kicks | Save%,shooting_Standard | SoT%,shooting_Standard | SoT/90,shooting_Standard | G/Sh,shooting_Standard | Dist,passing_Total | Cmp,passing_Total | Cmp%,passing_Total | TotDist,passing_Short | Cmp%,passing_Medium | Cmp%,passing_Long | Cmp%,passing | KP,passing | 1/3,passing | PPA,passing | CrsPA,passing | PrgP,gca_SCA | SCA,gca_SCA | SCA90,gca_GCA | GCA,gca_GCA | GCA90,defense_Tackles | Tkl,defense_Tackles | TklW,defense_Challenges | Att,defense_Challenges | Lost,defense_Blocks | Blocks,defense_Blocks | Sh,defense_Blocks | Pass,defense | Int,possession_Touches | Touches,possession_Touches | Def Pen,possession_Touches | Def 3rd,possession_Touches | Mid 3rd,possession_Touches | Att 3rd,possession_Touches | Att Pen,possession_Take-Ons | Att,possession_Take-Ons | Succ%,possession_Take-Ons | Tkld%,possession_Carries | Carries,possession_Carries | PrgDist,possession_Carries | PrgC,possession_Carries | 1/3,possession_Carries | CPA,possession_Carries | Mis,possession_Carries | Dis,possession_Receiving | Rec,possession_Receiving | PrgR,misc_Performance | Fls,misc_Performance | Fld,misc_Performance | Off,misc_Performance | Crs,misc_Performance | Recov,misc_Aerial Duels | Won,misc_Aerial Duels | Lost,misc_Aerial Duels | Won%
Aaron Cresswell,eng ENG,DF,West Ham,35.0,1989.0,14.0,7.0,589.0,0.0,0.0,2.0,0.0,0.1,1.1,4.0,24.0,2.0,0.0,0.0,0.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,355.0,80.7,6769.0,90.8,85.9,54.9,7.0,40.0,4.0,1.0,24.0,12.0,1.83,0.0,0.0,8.0,4.0,8.0,2.0,7.0,4.0,3.0,6.0,495.0,33.0,196.0,236.0,68.0,1.0,1.0,100.0,0.0,200.0,388.0,4.0,7.0,0.0,3.0,0.0,312.0,2.0,3.0,1.0,0.0,27.0,21.0,7.0,6.0,53.8
Aaron Ramsdale,eng ENG,GK,Southampton,26.0,1998.0,26.0,26.0,2340.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,0.0,0.0,0.0,0.0,691.0,64.4,19407.0,99.5,95.9,38.7,0.0,32.0,1.0,0.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1154.0,835.0,1132.0,25.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,701.0,2092.0,0.0,0.0,0.0,2.0,0.0,628.0,0.0,1.0,4.0,0.0,0.0,19.0,5.0,0.0,100.0
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27.0,1997.0,32.0,31.0,2794.0,2.0,2.0,1.0,0.0,1.2,2.9,98.0,125.0,139.0,0.06,0.06,0.04,0.09,0.0,0.0,0.0,0.0,33.3,0.16,0.13,15.3,1277.0,81.1,18273.0,90.0,82.0,47.4,29.0,89.0,30.0,11.0,125.0,83.0,2.67,7.0,0.23,61.0,43.0,26.0,7.0,31.0,9.0,22.0,59.0,1960.0,136.0,620.0,838.0,531.0,40.0,101.0,53.5,34.7,933.0,3303.0,98.0,57.0,12.0,28.0,21.0,1135.0,139.0,22.0,24.0,4.0,64.0,155.0,22.0,29.0,43.1
Abdoulaye Doucouré,ml MLI,MF,Everton,32.0,1993.0,30.0,29.0,2425.0,3.0,1.0,5.0,1.0,3.9,2.3,40.0,78.0,91.0,0.11,0.04,0.14,0.09,0.0,0.0,0.0,0.0,31.0,0.33,0.1,13.8,676.0,79.6,10229.0,85.1,83.1,72.7,26.0,44.0,14.0,0.0,78.0,54.0,2.0,2.0,0.07,45.0,27.0,39.0,26.0,30.0,6.0,24.0,9.0,1090.0,31.0,218.0,502.0,385.0,59.0,43.0,53.5,46.5,571.0,1339.0,40.0,24.0,8.0,33.0,35.0,705.0,91.0,46.0,5.0,10.0,23.0,139.0,29.0,43.0,40.3
Abdukodir Khusanov,uz UZB,DF,Manchester City,21.0,2004.0,6.0,6.0,503.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,360.0,91.1,6126.0,94.7,97.0,26.1,2.0,23.0,0.0,0.0,25.0,5.0,0.89,0.0,0.0,5.0,4.0,3.0,1.0,5.0,4.0,1.0,3.0,445.0,45.0,205.0,211.0,31.0,1.0,2.0,0.0,100.0,274.0,435.0,1.0,1.0,0.0,2.0,1.0,332.0,2.0,3.0,3.0,0.0,1.0,27.0,6.0,4.0,60.0
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21.0,2004.0,11.0,6.0,579.0,0.0,2.0,0.0,0.0,0.4,1.6,42.0,17.0,60.0,0.0,0.31,0.06,0.24,0.0,0.0,0.0,0.0,38.5,0.78,0.0,31.2,123.0,62.4,2150.0,72.8,76.3,48.5,6.0,7.0,7.0,2.0,17.0,17.0,2.64,3.0,0.47,21.0,15.0,19.0,8.0,7.0,0.0,7.0,4.0,326.0,19.0,73.0,114.0,157.0,26.0,69.0,42.0,40.6,217.0,1055.0,42.0,24.0,15.0,18.0,12.0,216.0,60.0,11.0,20.0,2.0,30.0,38.0,14.0,13.0,51.9
Adam Armstrong,eng ENG,"FW,MF",Southampton,28.0,1997.0,20.0,15.0,1248.0,2.0,2.0,4.0,0.0,3.3,1.2,25.0,21.0,79.0,0.14,0.14,0.24,0.09,0.0,0.0,0.0,0.0,28.0,0.5,0.08,16.6,231.0,80.2,3320.0,87.3,85.3,46.2,9.0,10.0,8.0,2.0,21.0,19.0,1.37,4.0,0.29,12.0,3.0,14.0,11.0,6.0,1.0,5.0,3.0,377.0,11.0,44.0,143.0,192.0,49.0,14.0,42.9,57.1,235.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,12.0,5.0,9.0,14.0,23.0,5.0,9.0,35.7
Adam Lallana,eng ENG,MF,Southampton,36.0,1988.0,14.0,5.0,361.0,0.0,2.0,4.0,0.0,0.2,0.9,6.0,24.0,10.0,0.0,0.5,0.04,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,221.0,85.0,2891.0,89.1,91.0,44.4,4.0,21.0,9.0,3.0,24.0,9.0,2.24,2.0,0.5,8.0,5.0,12.0,10.0,4.0,1.0,3.0,5.0,318.0,19.0,91.0,155.0,73.0,6.0,12.0,41.7,41.7,178.0,366.0,6.0,8.0,0.0,10.0,6.0,245.0,10.0,8.0,8.0,0.0,4.0,19.0,2.0,2.0,50.0
Adam Smith,eng ENG,DF,Bournemouth,34.0,1991.0,22.0,17.0,1409.0,0.0,0.0,6.0,0.0,0.7,0.3,12.0,40.0,31.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,436.0,75.7,7088.0,88.0,78.1,37.5,7.0,41.0,8.0,5.0,40.0,20.0,1.28,2.0,0.13,21.0,10.0,25.0,13.0,12.0,5.0,7.0,14.0,707.0,39.0,217.0,332.0,162.0,6.0,15.0,40.0,40.0,305.0,585.0,12.0,15.0,0.0,10.0,6.0,333.0,31.0,15.0,11.0,0.0,30.0,43.0,12.0,13.0,48.0
Adam Webster,eng ENG,DF,Brighton,30.0,1995.0,11.0,8.0,617.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,100.0,0.15,0.0,15.3,429.0,85.6,7934.0,95.5,91.8,50.6,3.0,32.0,2.0,0.0,40.0,10.0,1.46,3.0,0.44,8.0,5.0,11.0,6.0,12.0,9.0,3.0,14.0,569.0,84.0,279.0,271.0,22.0,8.0,3.0,33.3,66.7,326.0,1142.0,7.0,2.0,0.0,3.0,1.0,384.0,2.0,5.0,2.0,1.0,1.0,20.0,17.0,4.0,81.0
