Skill / pot,Player,Age,Team,ETV
Skill / pot,Player / Team / Position,ETV,Unnamed: 3_level_1,Unnamed: 4_level_1
92.8 100.0,Erling Haaland Erling Haaland Man City • F (C) F (C),24,Man City,€198.8M
89.2 92.9,"Martin Ødegaard Martin Ødegaard Arsenal • M, AM (C) M, AM (C)",26,Arsenal,€126.5M
82.0 84.9,Alexander Isak Alexander Isak Newcastle Utd. • F (C) F (C),25,Newcastle Utd.,€120.3M
80.1 92.5,Cole Palmer Cole Palmer Chelsea • M (C) M (C),23,Chelsea,€115.4M
83.7 86.6,Declan Rice Declan Rice Arsenal • M (C) M (C),26,Arsenal,€107.8M
85.5 88.9,"Alexis Mac Allister Alexis Mac Allister Liverpool • M, DM, AM (C) M, DM, AM (C)",26,Liverpool,€106.1M
86.5 93.6,Phil Foden Phil Foden Man City • M (CR) M (CR),24,Man City,€105.7M
87.2 96.9,"Bukayo Saka Bukayo Saka Arsenal • F, M (R) F, M (R)",23,Arsenal,€101.3M
88.2 88.9,"Rodri Rodri Man City • DM, M (C) DM, M (C)",28,Man City,€87M
86.8 98.3,"Ryan Gravenberch Ryan Gravenberch Liverpool • DM, M (C) DM, M (C)",22,Liverpool,€85.3M
80.9 82.6,"Bruno Guimarães Bruno Guimarães Newcastle Utd. • DM, M (C) DM, M (C)",27,Newcastle Utd.,€83.2M
81.1 91.9,"Moisés Caicedo Moisés Caicedo Chelsea • DM, M (C) DM, M (C)",23,Chelsea,€80.7M
88.9 96.7,William Saliba William Saliba Arsenal • D (C) D (C),24,Arsenal,€79.5M
77.1 79.4,Omar Marmoush Omar Marmoush Man City • F (C) F (C),26,Man City,€79.1M
79.4 91.0,Joško Gvardiol Joško Gvardiol Man City • D (CL) D (CL),23,Man City,€78.7M
84.8 86.5,Gabriel Magalhães Gabriel Magalhães Arsenal • D (C) D (C),27,Arsenal,€75.5M
77.8 91.6,"Sávio Sávio Man City • F (R), M (RL) F (R), M (RL)",21,Man City,€74.8M
60.3 80.3,"Ethan Nwaneri Ethan Nwaneri Arsenal • F (R), M (C) F (R), M (C)",18,Arsenal,€74.3M
75.1 82.7,"Enzo Fernández Enzo Fernández Chelsea • M, DM (C) M, DM (C)",24,Chelsea,€73.7M
86.9 93.8,"Dominik Szoboszlai Dominik Szoboszlai Liverpool • M (C), AM (L) M (C), AM (L)",24,Liverpool,€71.4M
76.4 84.3,"Brennan Johnson Brennan Johnson Tottenham • F, AM (R) F, AM (R)",23,Tottenham,€71.3M
76.0 78.0,"Lucas Paquetá Lucas Paquetá West Ham United • AM, M (C) AM, M (C)",27,West Ham United,€71.2M
70.5 88.1,Leny Yoro Leny Yoro Man Utd • D (CRL) D (CRL),19,Man Utd,€71M
86.5 86.5,"Luis Díaz Luis Díaz Liverpool • F (CL), M (L) F (CL), M (L)",28,Liverpool,€71M
85.1 89.1,Kai Havertz Kai Havertz Arsenal • F (C) F (C),25,Arsenal,€70.5M
69.2 78.4,Morgan Rogers Morgan Rogers Aston Villa • M (CRL) M (CRL),23,Aston Villa,€69M
73.9 85.8,Murillo Murillo Nottingham • D (C) D (C),22,Nottingham,€68.4M
86.3 89.3,"Cody Gakpo Cody Gakpo Liverpool • F, M, AM (L) F, M, AM (L)",26,Liverpool,€67.5M
81.5 91.3,Nicolas Jackson Nicolas Jackson Chelsea • F (C) F (C),23,Chelsea,€66.2M
80.1 89.3,Jérémy Doku Jérémy Doku Man City • M (L) M (L),22,Man City,€66.2M
68.8 87.2,"Kobbie Mainoo Kobbie Mainoo Man Utd • M, DM (C) M, DM (C)",20,Man Utd,€66M
75.2 84.6,Jurrien Timber Jurrien Timber Arsenal • D (RL) D (RL),23,Arsenal,€65.5M
75.0 88.9,Rico Lewis Rico Lewis Man City • D (R) D (R),20,Man City,€62.7M
80.9 83.2,Matheus Cunha Matheus Cunha Wolverhampton • F (C) F (C),25,Wolverhampton,€62.6M
87.7 96.4,"Gabriel Martinelli Gabriel Martinelli Arsenal • F, AM (L) F, AM (L)",23,Arsenal,€62.6M
74.9 75.8,"Eberechi Eze Eberechi Eze C. Palace • AM, M (C), F (L) AM, M (C), F (L)",26,C. Palace,€62.2M
68.7 76.0,"Amadou Onana Amadou Onana Aston Villa • DM, M (C) DM, M (C)",23,Aston Villa,€62.1M
71.1 79.1,Micky van de Ven Micky van de Ven Tottenham • D (CL) D (CL),24,Tottenham,€61.8M
73.1 79.0,"Mohammed Kudus Mohammed Kudus West Ham United • F (R), M (CL) F (R), M (CL)",24,West Ham United,€61.7M
77.1 80.0,"Morgan Gibbs-White Morgan Gibbs-White Nottingham • M, AM (C) M, AM (C)",25,Nottingham,€61.7M
77.9 84.0,"Curtis Jones Curtis Jones Liverpool • M, DM (C) M, DM (C)",24,Liverpool,€61.7M
75.7 91.1,Milos Kerkez Milos Kerkez B'mouth • D (L) D (L),21,B'mouth,€61.5M
80.4 80.9,Ollie Watkins Ollie Watkins Aston Villa • F (C) F (C),29,Aston Villa,€61.4M
71.0 78.5,"João Pedro João Pedro Brighton • F, M, AM (C) F, M, AM (C)",23,Brighton,€61.3M
80.5 84.1,"Darwin Núñez Darwin Núñez Liverpool • F (C), AM (L) F (C), AM (L)",25,Liverpool,€60.9M
70.9 87.1,Alejandro Garnacho Alejandro Garnacho Man Utd • AM (C) AM (C),20,Man Utd,€60.7M
70.6 75.9,"Pedro Neto Pedro Neto Chelsea • F, M (R) F, M (R)",25,Chelsea,€60.6M
86.7 91.7,"Dejan Kulusevski Dejan Kulusevski Tottenham • AM, M (C) AM, M (C)",25,Tottenham,€60.5M
72.5 79.6,"Manuel Ugarte Manuel Ugarte Man Utd • DM, M (C) DM, M (C)",24,Man Utd,€60.4M
72.6 74.8,Cristian Romero Cristian Romero Tottenham • D (C) D (C),27,Tottenham,€60.1M
78.5 90.3,Destiny Udogie Destiny Udogie Tottenham • D (L) D (L),22,Tottenham,€59.4M
83.1 84.9,Ben White Ben White Arsenal • D (R) D (R),27,Arsenal,€58.8M
75.3 88.1,Illia Zabarnyi Illia Zabarnyi B'mouth • D (C) D (C),22,B'mouth,€58.8M
83.2 83.6,Diogo Jota Diogo Jota Liverpool • F (C) F (C),28,Liverpool,€58.6M
86.4 86.4,Rúben Dias Rúben Dias Man City • D (C) D (C),27,Man City,€58.5M
71.0 89.0,"Archie Gray Archie Gray Tottenham • D (CR), DM (C) D (CR), DM (C)",19,Tottenham,€58.2M
81.2 81.2,"James Maddison James Maddison Tottenham • AM, M (C) AM, M (C)",28,Tottenham,€58.1M
81.4 85.4,Ibrahima Konaté Ibrahima Konaté Liverpool • D (C) D (C),25,Liverpool,€57.2M
81.2 85.9,"Bryan Mbeumo Bryan Mbeumo Brentford • F (CR), M (R) F (CR), M (R)",25,Brentford,€57.2M
78.1 91.4,Levi Colwill Levi Colwill Chelsea • D (C) D (C),22,Chelsea,€56.6M
67.5 80.9,"Mathys Tel Mathys Tel Tottenham • F (CL), M (L) F (CL), M (L)",20,Tottenham,€56.4M
74.6 79.7,Pedro Porro Pedro Porro Tottenham • D (R) D (R),25,Tottenham,€55.9M
85.3 87.4,Trent Alexander-Arnold Trent Alexander-Arnold Liverpool • D (R) D (R),26,Liverpool,€55.8M
65.2 82.3,Dean Huijsen Dean Huijsen B'mouth • D (C) D (C),20,B'mouth,€55M
77.1 87.8,Rasmus Winther Højlund Rasmus Winther Højlund Man Utd • F (C) F (C),22,Man Utd,€54.9M
79.8 79.9,"Bruno Fernandes Bruno Fernandes Man Utd • AM, M (C) AM, M (C)",30,Man Utd,€54.8M
67.3 77.6,"Roméo Lavia Roméo Lavia Chelsea • DM, M (C) DM, M (C)",21,Chelsea,€54.6M
79.0 83.7,Marc Guéhi Marc Guéhi C. Palace • D (CL) D (CL),24,C. Palace,€54.2M
79.1 79.2,"Marcus Rashford Marcus Rashford Aston Villa • M, AM (L), F (C) M, AM (L), F (C)",27,Aston Villa,€53.6M
78.0 82.3,Sandro Tonali Sandro Tonali Newcastle Utd. • M (C) M (C),25,Newcastle Utd.,€52.9M
73.2 77.6,Sven Botman Sven Botman Newcastle Utd. • D (C) D (C),25,Newcastle Utd.,€52.7M
73.7 87.5,"Carlos Baleba Carlos Baleba Brighton • DM, M (C) DM, M (C)",21,Brighton,€52.4M
75.6 82.9,Matthijs de Ligt Matthijs de Ligt Man Utd • D (CR) D (CR),25,Man Utd,€52.2M
79.5 80.2,Dominic Solanke Dominic Solanke Tottenham • F (C) F (C),27,Tottenham,€52.1M
79.1 81.0,"Christopher Nkunku Christopher Nkunku Chelsea • F (C), M (L) F (C), M (L)",27,Chelsea,€51.7M
76.1 86.4,"Noni Madueke Noni Madueke Chelsea • F, M (R) F, M (R)",23,Chelsea,€51.6M
71.4 77.2,"João Gomes João Gomes Wolverhampton • M, DM (C) M, DM (C)",24,Wolverhampton,€51.1M
70.5 80.6,"Pape Matar Sarr Pape Matar Sarr Tottenham • M, DM (C) M, DM (C)",22,Tottenham,€50.8M
80.2 80.2,"Kaoru Mitoma Kaoru Mitoma Brighton • F, M (L) F, M (L)",27,Brighton,€50.6M
86.7 87.8,"Bernardo Silva Bernardo Silva Man City • M (CR), DM (C) M (CR), DM (C)",30,Man City,€50M
80.7 86.9,Anthony Gordon Anthony Gordon Newcastle Utd. • F (L) F (L),24,Newcastle Utd.,€49.5M
73.6 84.3,Valentino Livramento Valentino Livramento Newcastle Utd. • D (RL) D (RL),22,Newcastle Utd.,€49.3M
73.1 80.7,Riccardo Calafiori Riccardo Calafiori Arsenal • D (CL) D (CL),22,Arsenal,€49.3M
73.0 74.5,Lisandro Martínez Lisandro Martínez Man Utd • D (CL) D (CL),27,Man Utd,€49.2M
68.1 81.3,"Adam Wharton Adam Wharton C. Palace • DM, M (C) DM, M (C)",21,C. Palace,€48.9M
67.3 82.0,Evan Ferguson Evan Ferguson West Ham United • F (C) F (C),20,West Ham United,€48.5M
75.7 86.7,"Harvey Elliott Harvey Elliott Liverpool • M (C), F (R) M (C), F (R)",22,Liverpool,€48.5M
69.4 76.9,"Amad Diallo Amad Diallo Man Utd • F, M (R), AM (C) F, M (R), AM (C)",22,Man Utd,€48.5M
71.6 78.1,"Nico González Nico González Man City • M, DM (C) M, DM (C)",23,Man City,€48.4M
66.9 76.9,Abdukodir Khusanov Abdukodir Khusanov Man City • D (C) D (C),21,Man City,€48.4M
73.5 75.3,"Jarrod Bowen Jarrod Bowen West Ham United • M (R), F (C) M (R), F (C)",28,West Ham United,€48.1M
74.1 79.3,Antoine Semenyo Antoine Semenyo B'mouth • M (RL) M (RL),25,B'mouth,€47.7M
77.0 77.0,"Joelinton Joelinton Newcastle Utd. • M (C), AM (L) M (C), AM (L)",28,Newcastle Utd.,€47.5M
79.6 89.8,"Elliot Anderson Elliot Anderson Nottingham • M, DM (C) M, DM (C)",22,Nottingham,€46.5M
77.9 78.7,Antonee Robinson Antonee Robinson Fulham • D (L) D (L),27,Fulham,€46.4M
78.9 82.6,"Boubacar Kamara Boubacar Kamara Aston Villa • DM, M (C) DM, M (C)",25,Aston Villa,€46.3M
78.8 85.9,Jacob Ramsey Jacob Ramsey Aston Villa • M (CL) M (CL),23,Aston Villa,€45.8M
89.5 89.5,Gabriel Jesus Gabriel Jesus Arsenal • F (C) F (C),28,Arsenal,€45.6M
75.0 82.6,Anthony Elanga Anthony Elanga Nottingham • M (R) M (R),23,Nottingham,€45.5M
75.6 77.2,Pau Torres Pau Torres Aston Villa • D (C) D (C),28,Aston Villa,€45.3M
70.5 77.7,"Rayan Aït Nouri Rayan Aït Nouri Wolverhampton • D, M (L) D, M (L)",23,Wolverhampton,€45M
79.3 81.7,"Justin Kluivert Justin Kluivert B'mouth • M (C), AM (R) M (C), AM (R)",26,B'mouth,€44.8M
73.5 80.1,Joshua Zirkzee Joshua Zirkzee Man Utd • F (C) F (C),23,Man Utd,€43.7M
83.0 83.0,Jack Grealish Jack Grealish Man City • M (L) M (L),29,Man City,€43.5M
76.6 77.4,"Noussair Mazraoui Noussair Mazraoui Man Utd • D (RL), M (R) D (RL), M (R)",27,Man Utd,€43M
79.9 82.7,Manuel Akanji Manuel Akanji Man City • D (C) D (C),29,Man City,€42.8M
75.9 76.1,Ezri Konsa Ezri Konsa Aston Villa • D (CR) D (CR),27,Aston Villa,€42.7M
74.0 85.6,"Yankuba Minteh Yankuba Minteh Brighton • F, M (R) F, M (R)",20,Brighton,€42.6M
72.3 78.6,Jan Paul van Hecke Jan Paul van Hecke Brighton • D (C) D (C),24,Brighton,€42.4M
71.6 72.7,"Matheus Nunes Matheus Nunes Man City • M (CL), D (R) M (CL), D (R)",26,Man City,€42.3M
72.3 72.3,Guglielmo Vicario Guglielmo Vicario Tottenham • GK GK,28,Tottenham,€41.6M
79.1 79.9,"Youri Tielemans Youri Tielemans Aston Villa • M, DM (C) M, DM (C)",28,Aston Villa,€41.5M
78.2 78.6,"Harvey Barnes Harvey Barnes Newcastle Utd. • F, AM (L) F, AM (L)",27,Newcastle Utd.,€41.5M
58.6 77.4,Vitor Reis Vitor Reis Man City • D (C) D (C),19,Man City,€41.4M
72.1 79.0,"Georginio Rutter Georginio Rutter Brighton • F, M (C) F, M (C)",23,Brighton,€41.3M
